classtype,flagno,storeno,storename,undertaker,storeaddr,contacttel,taxno
1,5610,D000355,KYMCO_鋐昇機車行,陳財河,701臺南市東區崇道路108號,06-3353699,
1,5610,D000344,KYMCO_宏晟機車行,劉賢義,708臺南市安平區永華四街25巷6號,06-2952958,
1,5609,S000390,和昇機車行,鄭忠榮,830高雄市鳳山區五甲二路674號,07-8211042,
1,5609,R000408,SYM_全芳機車行,黃駿宏,730臺南市新營區中山路173號,06-6333076,
1,5609,P000244,慶池機車行,李建蒲,630雲林縣斗南鎮西岐里延平路2段160號1樓,05-5972787,
1,5609,H001264,大展機車行,劉純鉉,326桃園市楊梅區秀才路8號,4752326,
1,5609,H001185,今盛機車行,李明峰,338桃園市蘆竹區南竹路2段119號,03-3226103,
1,5609,H001137,榮大車業行,黃聖貴,328桃園市觀音區大同村中山路2段588號,03-4981366,
1,5609,F002034,明興機車行,李泰全,220新北市板橋區長江路一段359號,22567976,
1,5609,D000363,SYM_常縢機車行,王偉齊,704臺南市北區西門路3段182號,06-2224263,
1,5609,D000362,SYM_佳璋機車行,蔡佳璋,702臺南市南區文南路272號,06-2642288,
1,5608,S000393,領導機車行,蘇明哲,830高雄市鳳山區五甲二路22號,07-7654567,
1,5608,R000416,KYMCO_嘉南機車行,宋志豪,717臺南市仁德區二行一路173號,06-2662772,
1,5608,R000411,SYM_源力機車行,沈世耀,730臺南市新營區民治路148-7號,06-6560871,
1,5608,R000407,SYM_山川機車行,林芳欽,730臺南市新營區民治路176號,06-6570917,
1,5608,P000246,快馬機車行,鐘大為,630雲林縣斗南鎮西岐里大同路一號,05-5974055,
1,5608,H001248,行行者車業,余坤苑,320桃園市中壢區龍慈路233號,03-4669756,
1,5608,D000354,東昀車業有限公司,黃玉玲,702臺南市南區中華西路一段271號,06-2648578,
1,5608,D000344,KYMCO_宏晟機車行,劉賢義,708臺南市安平區永華四街25巷6號,06-2952958,
1,5607,V000114,順億車業行,許永良,958臺東縣池上鄉福原村中山路89號1樓,089-864848,
1,5607,I000168,百合機車行,林韋宏,600嘉義市東區林森東路273號,05-2770352,
1,5607,I000162,慶和機車行,侯建宏,600嘉義市忠孝路6號,05-2226567,
1,5607,H001262,日展輪業有限公司,王葉季枝,326桃園市楊梅區永美路358號,4820168,
1,5607,D000348,KYMCO_見昌車業行,陳秀花,704臺南市北區公園路281號,06-2204058,
1,5606,R000416,KYMCO_嘉南機車行,宋志豪,717臺南市仁德區二行一路173號,06-2662772,
1,5606,R000411,SYM_源力機車行,沈世耀,730臺南市新營區民治路148-7號,06-6560871,
1,5606,R000407,SYM_山川機車行,林芳欽,730臺南市新營區民治路176號,06-6570917,
1,5606,D000344,KYMCO_宏晟機車行,劉賢義,708臺南市安平區永華四街25巷6號,06-2952958,
1,5605,V000129,台東縣輝昌機車行,莊榮昌,961臺東縣成功鎮三民里中華路18號,089-851012,
1,5605,I000178,德勝機車行,方德成,600嘉義市西區民生南路878號,05-2851482,
1,5605,I000168,百合機車行,林韋宏,600嘉義市東區林森東路273號,05-2770352,
1,5605,I000162,慶和機車行,侯建宏,600嘉義市忠孝路6號,05-2226567,
1,5605,I000153,滿金機車行,袁明豪,600嘉義市民生南路570號,05-2350282,
1,5605,H001262,日展輪業有限公司,王葉季枝,326桃園市楊梅區永美路358號,4820168,
1,5605,F002127,永諭車行,張福賢,234新北市永和區文化路105號,29241721,
